tick	antikeeper	builder	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17563341	0.86	0.32	0.33	0.60	0.54	0.46	0.47	0.49	0.14	0.29
17563460	0.82	0.32	0.84	0.60	0.49	0.45	0.40	0.47	0.16	0.25
17563567	0.53	0.36	0.26	0.55	0.32	0.42	0.51	0.47	0.13	0.30
17563679	0.66	0.38	0.29	0.63	0.47	0.43	0.43	0.49	0.09	0.29
17563919	0.83	0.37	0.41	0.50	0.42	0.41	0.51	0.47	0.09	0.27
17564039	0.68	0.37	0.27	0.61	0.68	0.42	0.85	0.55	0.10	0.28
17564139	0.74	0.38	0.79	0.68	0.75	0.41	0.54	0.53	0.10	0.27
17564239	0.75	0.56	0.48	0.73	0.68	0.41	0.53	0.51	0.12	0.33
17564339	0.93	0.45	0.25	0.66	0.84	0.43	0.49	0.55	0.11	0.28
17564439	0.72	0.37	0.57	0.58	0.46	0.47	0.50	0.51	0.11	0.33
17564539	0.50	0.37	0.60	0.58	0.43	0.42	0.64	0.51	0.10	0.28
17564639	0.53	0.40	0.29	0.55	0.35	0.42	0.39	0.52	0.09	0.30
17564769	0.55	0.38	0.49	0.39	0.57	0.46	0.44	0.46	0.09	0.29
17564869	0.44	0.33	0.61	0.60	0.39	0.48	0.46	0.46	0.14	0.27
17564969	0.46	0.34	0.30	0.55	0.47	0.51	0.40	0.48	0.13	0.23
17565069	0.40	0.36	0.53	0.39	0.43	0.55	0.47	0.52	0.10	0.29
17565169	0.42	0.29	0.35	0.40	0.35	0.48	0.44	0.47	0.18	0.29
17565269	0.47	0.33	0.28	0.41	0.33	0.55	0.42	0.45	0.12	0.26
17565369	0.38	0.36	0.51	0.47	0.42	0.55	0.49	0.49	0.10	0.27
17565469	0.46	0.38	0.43	0.44	0.37	0.55	0.42	0.50	0.09	0.27
17565569	0.44	0.34	0.28	0.48	0.36	0.45	0.40	0.50	0.09	0.25
17565669	0.49	0.36	0.44	0.49	0.34	0.54	0.43	0.52	0.08	0.26
17565769	0.64	0.32	0.46	0.47	0.32	0.54	0.43	0.50	0.11	0.26
17565869	0.67	0.34	0.32	0.57	0.63	0.48	0.39	0.50	0.08	0.31
17565969	0.66	0.37	0.33	0.46	0.41	0.48	0.53	0.51	0.11	0.31
17566069	0.63	0.34	0.76	0.73	0.52	0.49	0.50	0.47	0.14	0.32
17566169	0.68	0.34	0.43	0.49	0.37	0.57	0.38	0.45	0.13	0.28
17566269	0.65	0.36	0.31	0.52	0.42	0.52	0.46	0.46	0.18	0.28
17566369	0.74	0.33	0.78	0.55	0.31	0.46	0.47	0.51	0.09	0.29
17566469	0.60	0.41	0.30	0.37	0.57	0.46	0.36	0.52	0.08	0.29
17566569	0.51	0.35	0.33	0.46	0.55	0.52	0.49	0.56	0.10	0.23
17566669	0.50	0.31	0.68	0.46	0.39	0.54	0.65	0.53	0.11	0.30
17566769	0.51	0.37	0.31	0.56	0.58	0.50	0.53	0.51	0.10	0.28
17566869	1.08	0.33	0.28	0.53	0.43	0.55	0.50	0.51	0.11	0.28
17566969	0.51	0.31	0.80	0.53	0.42	0.60	0.44	0.50	0.11	0.23
17567069	0.53	0.38	0.42	0.47	0.29	0.51	0.47	0.48	0.10	0.31
17567169	0.63	0.35	0.33	0.42	0.28	0.53	0.43	0.48	0.09	0.30
17567270	0.49	0.39	0.25	0.53	0.33	0.60	0.39	0.50	0.09	0.35
17567370	0.56	0.35	0.63	0.54	0.29	0.52	0.51	0.48	0.10	0.33
17567470	0.48	0.29	0.36	0.51	0.29	0.56	0.41	0.46	0.09	0.33
17567570	0.61	0.28	0.24	0.69	0.35	0.55	0.44	0.48	0.21	0.31
17567670	0.63	0.35	0.79	0.64	0.56	0.59	0.42	0.50	0.15	0.29
17567770	0.46	0.40	0.55	0.46	0.48	0.60	0.46	0.52	0.10	0.28
17567870	0.57	0.29	0.28	0.52	0.47	0.54	0.48	0.51	0.12	0.27
17567970	0.49	0.47	0.66	0.48	0.38	0.58	0.45	0.46	0.08	0.29
17568070	0.46	0.31	0.39	0.49	0.35	0.47	0.64	0.51	0.10	0.30
17568170	0.62	0.33	0.28	0.52	0.61	0.56	0.45	0.50	0.11	0.26
17568270	0.48	0.32	0.63	0.52	0.35	0.47	0.46	0.52	0.09	0.28
17568370	0.46	0.54	0.40	0.40	0.31	0.59	0.50	0.49	0.10	0.30
17568470	0.61	0.32	0.28	0.57	0.33	0.51	0.47	0.48	0.09	0.29
17568570	0.92	0.34	0.42	0.55	0.53	0.59	0.47	0.52	0.11	0.31
17568670	0.74	0.38	0.32	0.44	0.47	0.53	0.48	0.52	0.11	0.25
17568770	0.56	0.37	0.42	0.57	0.35	0.59	0.47	0.46	0.10	0.28
17568870	0.49	0.32	0.33	0.48	0.47	0.59	0.46	0.46	0.16	0.26
17568970	0.53	0.36	0.43	0.68	0.37	0.49	0.49	0.47	0.12	0.29
17569070	0.65	0.31	0.31	0.65	0.40	0.57	0.50	0.51	0.09	0.31
17569170	0.44	0.31	0.45	0.50	0.38	0.50	0.45	0.49	0.10	0.33
17569270	0.58	0.37	0.40	0.53	0.40	0.53	0.46	0.46	0.09	0.31
17569370	0.50	0.35	0.31	0.53	0.43	0.53	0.64	0.49	0.09	0.32
17569469	0.89	0.34	0.48	0.64	0.12	0.41	0.60	0.52	0.11	0.27
17569569	0.95	0.37	0.45	0.61	0.06	0.44	0.21	0.55	0.10	0.28
