tick	antikeeper	attacker	builder	claimer	harvester	healer	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17187776	0	0	0.46	0.43	0.53	0	0.53	0.60	0.48	0.56	0.23	0.35
17187876	0	0	0.25	0.37	0.50	0	0.38	0.62	0.47	0.50	0.39	0.41
17187976	0	0	0.35	0.60	0.69	0	0.38	0.44	0.47	0.56	0.21	0.31
17188076	0	0	0.72	0.70	0.64	0	0.44	0.41	0.53	0.54	0.23	0.29
17188176	0	0	0.34	0.38	0.66	0	0.47	0.36	0.55	0.42	0.28	0.32
17188276	0	0	0.35	0.86	0.69	0	0.42	0.58	0.54	0.44	0.29	0.39
17188376	0	0	0.34	1.01	0.72	0	0.41	0.87	0.52	0.34	0.29	0.33
17188476	0	0	0.34	0.32	0.73	0	0.38	0.68	0.40	0.51	0.23	0.33
17188576	0	0	0.35	0.65	0.63	0	0.48	0.62	0.49	0.53	0.35	0.41
17188676	0	0	0.33	0.65	0.70	0	0.44	0.63	0.54	0.42	0.24	0.34
17188776	0	0	0.29	0.42	0.56	0	0.52	0.51	0.48	0.57	0.25	0.29
17188876	0	0	1.01	0.57	0.54	0	0.55	0.58	0.53	0.52	0.27	0.38
17188976	0	0	0.71	0.65	0.67	0	0.54	0.66	0.47	0.44	0.24	0.32
17189076	0	0	0.57	0.37	0.56	0	0.54	1.13	0.45	0.54	0.30	0.31
17189176	0	0	0.32	0.65	0.56	0	0.67	0.95	0.45	0.54	0.23	0.27
17189276	0	0	0.60	0.60	0.47	0	0.68	0.73	0.53	0.40	0.22	0.30
17189376	0	0	0.36	0.53	0.59	0	0.60	0.73	0.45	0.41	0.34	0.30
17189476	0	0	0.41	0.37	0.58	0	0.63	0.78	0.50	0.41	0.25	0.28
17189576	0	0	0.44	0.45	0.58	0	0.71	0.68	0.51	0.33	0.22	0.30
17189676	0	0	0.45	0.42	0.60	0	0.68	0.88	0.55	0.28	0.23	0.28
17189776	0	0	0.47	0.31	0.61	0	0.79	0.85	0.54	0.43	0.35	0.28
17189876	0	0	0.51	0.75	0.53	0	0.71	0.73	0.45	0.49	0.31	0.27
17189976	0	0	0.42	0.83	0.55	0	0.66	0.88	0.36	0.49	0.33	0.26
17190076	0	0	0.49	0.46	0.54	0	0.56	0.62	0.44	0.49	0.23	0.31
17190176	0	0	0.75	0.32	0.49	0	0.56	0.63	0.42	0.45	0.24	0.31
17190276	0	0	0.41	0.72	0.48	0	0.46	0.39	0.53	0.49	0.23	0.34
17190376	0	0	0.37	0.47	0.49	0	0.47	0.72	0.50	0.54	0.24	0.33
17190476	0	0	0.61	0.63	0.69	0	0.38	0.76	0.52	0.54	0.26	0.30
17190576	0	0	0.48	0.78	0.58	0	0.41	0.54	0.41	0.55	0.32	0.35
17190676	0	0	0.36	0.39	0.72	0	0.39	0.62	0.47	0.52	0.23	0.29
17190775	0	0	0.46	0.42	0.65	0	0.43	0.51	0.55	0.51	0.32	0.31
17190875	0	0	0.48	0.66	0.67	0	0.51	0.47	0.54	0.45	0.25	0.38
17190975	0	0	0.45	0.42	0.77	0	0.49	0.55	0.51	0.42	0.28	0.30
17191075	0	0	0.45	0.41	0.59	0	0.42	0.46	0.51	0.28	0.25	0.37
17191175	0	0	0.55	0.48	0.54	0	0.53	0.61	0.43	0.46	0.26	0.31
17191275	0	0	0.47	0.37	0.59	0	0.41	0.48	0.47	0.49	0.36	0.30
17191375	0	0	0.45	0.61	0.60	0	0.39	0.67	0.56	0.34	0.22	0.29
17191475	0	0	0.57	0.55	0.53	0	0.45	0.56	0.51	0.44	0.29	0.30
17191575	0	0	0.43	0.56	0.65	0	0.47	0.50	0.51	0.49	0.24	0.33
17191675	0	0	0.41	0.45	0.69	0	0.53	0.53	0.50	0.39	0.22	0.31
17191775	0	0	0.41	0.48	0.57	0	0.57	0.53	0.49	0.48	0.24	0.30
17191875	0	0	0.41	0.71	0.50	0	0.39	0.60	0.49	0.68	0.30	0.30
17191975	0	0	0.47	0.51	0.58	0	0.45	0.50	0.51	0.40	0.20	0.28
17192075	0	0	0.46	0.25	0.61	0	0.46	0.54	0.49	0.42	0.29	0.28
17192175	0	0	0.38	0.68	0.84	0	0.39	0.57	0.48	0.44	0.22	0.30
17192275	0	0	0.60	0.30	0.57	0	0.42	0.51	0.52	0.35	0.32	0.33
17192375	0	0	0.40	0.40	0.63	0	0.49	0.40	0.51	0.47	0.25	0.30
17192475	0	0	0.24	0.41	0.72	0	0.49	0.63	0.51	0.51	0.25	0.33
17192575	0	0	0.57	0.69	0.75	0	0.45	0.36	0.52	0.52	0.25	0.34
17192675	0	0	0.36	0.56	0.61	0	0.41	0.45	0.45	0.54	0.24	0.33
17192775	0	0	0.35	0.60	0.70	0	0.47	0.37	0.52	0.56	0.34	0.28
17192875	0	0	0.35	0.75	0.62	0	0.45	0.40	0.48	0.60	0.23	0.29
17192975	0	0	0.33	0.60	0.64	0	0.46	0.45	0.48	0.53	0.33	0.28
17193075	0	0	0.32	0.33	0.54	0	0.37	0.49	0.46	0.52	0.26	0.31
17193175	0	0	0.42	0.65	0.61	0	0.49	0.62	0.44	0.54	0.25	0.36
17193275	0	0	0.42	0.42	0.45	0	0.48	0.63	0.47	0.50	0.21	0.29
17193375	0	0	0.43	0.57	0.49	0	0.47	0.63	0.45	0.42	0.24	0.30
17193475	0	0	0.35	0.55	0.47	0	0.42	0.67	0.45	0.41	0.23	0.28
17193575	0	0	0.40	0.64	0.58	0	0.43	0.69	0.51	0.36	0.24	0.29
17193675	0	0	0.26	0.55	0.51	0	0.45	0.61	0.50	0.47	0.24	0.28
17193775	0	0	0.47	0.37	0.50	0	0.40	0.55	0.45	0.26	0.23	0.29
17193875	0	0	0.45	0.38	0.65	0	0.40	0.68	0.43	0.38	0.36	0.34
17194075	0	0	0.40	0.75	0.37	0	0.51	0.46	0.50	0.30	0.23	0.29
17194176	0	0	0.45	0.29	0.46	0	0.50	0.47	0.48	0.42	0.27	0.30
17194276	0	0	0.66	0.68	0.53	0	0.50	0.33	0.44	0.49	0.24	0.28
17194376	0	0	0.49	0.50	0.64	0	0.50	0.42	0.43	0.33	0.22	0.28
17194476	0	0	0.43	0.25	0.51	0	0.48	0.57	0.40	0.48	0.33	0.31
17194576	0	0	0.71	0.35	0.57	0	0.42	0.51	0.49	0.53	0.23	0.29
17194676	0	0	0.38	0.89	0.55	0	0.63	0.57	0.48	0.34	0.25	0.31
17194776	0	0	0.41	0.78	0.64	0	0.53	0.53	0.44	0.39	0.23	0.30
17194876	0	0	0.53	0.35	0.53	0	0.42	0.57	0.45	0.40	0.23	0.28
17194976	0	0	0.43	0.65	0.57	0	0.42	0.51	0.50	0.39	0.22	0.28
17195076	0	0	0.60	0.39	0.62	0	0.49	0.59	0.55	0.42	0.31	0.31
17195176	0	0	0.62	0.25	0.58	0	0.39	0.53	0.55	0.50	0.24	0.31
17195276	0	0	0.64	0.52	0.51	0	0.34	0.42	0.48	0.50	0.23	0.34
17195376	0	0	0.68	0.60	0.51	0	0.46	0.45	0.45	0.51	0.25	0.32
17195576	0	0	0.59	0.28	0.54	0	0.43	0.59	0.51	0.51	0.25	0.31
17195676	0	0	0.56	0.24	0.47	0	0.54	0.49	0.51	0.48	0.26	0.27
17195776	0	0	0.31	0.23	0.48	0	0.48	0.50	0.51	0.48	0.36	0.28
17195876	0	0	0.40	0.46	0.50	0	0.50	0.47	0.43	0.45	0.23	0.38
17195976	0	0	0.21	0.37	0.49	0	0.68	0.53	0.32	0.47	0.25	0.32
17196084	0	0	0.55	0.35	0.67	0	0.46	0.60	0.35	0.49	0.32	0.30
17196184	0	0	0.45	0.49	0.56	0	0.53	0.51	0.39	0.45	0.24	0.29
17196284	0	0	0.73	0.48	0.46	0	0.41	0.64	0.33	0.40	0.26	0.26
17196384	0	0	0	0.26	0.41	0	0.45	0.80	0.36	0.47	0.24	0.29
17196483	0	0	0.53	0.25	0.59	0	0.53	0.71	0.29	0.50	0.27	0.32
17196583	0	0	0.60	0.28	0.61	0	0.68	0.77	0.35	0.46	0.33	0.35
17196683	0	0	0.76	0.29	0.52	0	0.52	0	0.29	0.51	0.31	0.37
17196783	0	0	0.67	0	0.57	0	0.53	0	0.17	0.51	0.33	0.31
17196883	0	0	0.59	0	0.43	0	0.47	0	0.09	0.53	0.26	0.33
17196983	0	0	0.30	0	0.43	0	0.47	0	0.23	0.52	0.25	0.29
17197083	0	0	0.35	0	0.36	0	0.40	0	0.09	0.49	0.29	0.29
17197183	0	0	0.43	0	0.38	0	0.28	0	0.09	0.55	0.22	0.28
17197283	0	0	0.30	0	0.39	0	0	0	0.14	0.49	0.24	0.41
17197383	0	0	0.32	0	0.43	0	0	0	0.11	0.51	0.25	0.41
17197483	0	0	0.41	0	0.40	0	0	0	0.10	0.41	0.22	0.21
17197583	0	0	0.48	0	0.38	0	0	0	0	0.46	0.27	0.29
17197683	0	0	0.53	0	0.44	0	0	0	0	0.40	0.25	0.31
17197783	0	0	0.34	0	0.34	0	0	0.70	0	0.41	0.25	0.25
17197884	0	0	0.49	0	0.33	0	0	0.65	0	0.50	0.27	0.26
17197984	0	0	0.31	0	0.48	0	0	0.42	0	0.44	0.23	0.25
17198084	0	0	0.49	0	0.34	0	0	0.33	0	0.47	0.24	0.38
17198184	0	0	0.54	0	0.46	0	0	0.37	0	0.51	0.34	0.45
17198284	0	0	0.43	0	0.41	0	0	0.32	0	0.48	0.35	0.29
17198384	0	0	0.47	0	0.52	0	0	0.36	0	0.49	0.36	0.31
17198484	0	0	0.27	0	0.40	0	0	0.45	0	0.45	0.25	0.25
17198584	0	0	0.43	0	0.49	0	0	0.38	0	0.49	0.33	0.28
17198684	0	0	0.40	0	0.40	0	0	0.46	0	0.47	0.24	0.38
17198784	0	0	0.28	0	0.36	0	0	0.46	0	0.47	0.25	0.33
17198884	0	0	0.35	0	0.39	0	0	0.43	0	0.47	0.25	0.33
17198984	0	0	0.38	0	0.29	0	0	0.43	0	0.39	0.36	0.23
17199084	0	0	0.27	0	0.35	0	0	0.46	0	0.43	0.27	0.23
17199184	0	0	0.44	0	0.56	0	0	0.55	0	0.44	0.29	0.34
17199284	0	0	0.37	0	0.41	0	0	0.58	0	0.45	0.25	0.33
17199384	0	0	0.43	0	0.32	0	0	0.38	0	0.47	0.25	0.25
17199484	0	0	0.41	0	0.41	0	0	0.42	0	0.52	0.26	0.33
17199584	0	0	0.35	0	0.40	0	0	0.32	0	0.50	0.25	0.38
17199684	0	0	0.39	0	0.32	0	0	0.41	0	0.47	0.33	0.32
17199784	0	0	0.40	0.84	0.45	0	0	0.37	0	0.46	0.21	0.35
17199884	0	0	0.32	0.50	0.39	0	0	0.37	0	0.52	0.21	0.25
17199984	0	0	0.22	0.43	0.32	0	0	0.41	0	0.45	0.25	0.23
17200084	0	0	0.26	0.28	0.48	0	0	0.49	0	0.50	0.23	0.30
17200184	0	0	0.29	0.34	0.36	0	0	0.41	0	0.39	0.24	0.20
