tick	antikeeper	claimer	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17376179	0.48	0.65	0.77	0	0.53	0.50	0.49	0.15	0.31
17376292	0.44	0.27	0.82	0	0.54	0.47	0.47	0.13	0.32
17376393	0.56	0.25	0.74	0	0.53	0.59	0.38	0.14	0.32
17376699	0.48	0.26	0.75	0.68	0.52	0.59	0.49	0.13	0.35
17376899	0.46	0.74	0.79	0.49	0.47	0.36	0.49	0.10	0.33
17376999	0.56	0.28	0.77	0.48	0.55	0.55	0.51	0.12	0.32
17377099	0.48	0.23	0.78	0.49	0.48	0.51	0.50	0.20	0.31
17377199	0.39	0.55	0.80	0.39	0.55	0.47	0.49	0.11	0.30
17377299	0.51	0.56	0.77	0.60	0.59	0.59	0.50	0.10	0.32
17377399	0.52	0.24	0.75	0.39	0.69	0.59	0.51	0.14	0.36
17377499	0.48	0.23	0.71	0.43	0.54	0.41	0.48	0.11	0.34
17377699	0.46	0.50	0.68	0.49	0.51	0.50	0.41	0.13	0.30
17377799	0.42	0.24	0.72	0.50	0.49	0.51	0.39	0.14	0.32
17378099	0.48	0.40	0.69	0.97	0.44	0.45	0.51	0.25	0.30
17378199	0.44	0.28	0.69	0	0.62	0.56	0.53	0.11	0.38
17378299	0.40	0.60	0.78	0	0.53	0.47	0.51	0.14	0.34
17378399	0.47	0.27	0.71	0	0.54	0.38	0.52	0.12	0.30
17378499	0.55	0.24	0.95	0	0.61	0.54	0.50	0.12	0.29
17378599	0.42	0.53	0.64	0	0.52	0.47	0.58	0.14	0.32
17378698	0.53	0.51	0.78	0	0.51	0.47	0.51	0.12	0.33
17378798	0.57	0.26	0.87	0	0.61	0.60	0.51	0.14	0.37
17378898	0.47	0.31	0.84	0	0.58	0.58	0.49	0.14	0.33
17378998	0.48	0.63	0.78	0	0.51	0.51	0.40	0.16	0.39
17379098	0.45	0.30	0.59	0	0.57	0.53	0.38	0.15	0.31
17379198	0.40	0.28	0.80	0	0.46	0.48	0.50	0.20	0.35
17379298	0.41	0.65	0.88	0	0.57	0.43	0.51	0.10	0.31
17379398	0.45	0.33	0.70	0	0.47	0.57	0.48	0.11	0.54
17379498	0.40	0.26	0.66	0	0.48	0.47	0.50	0.16	0.34
17379598	0.41	0.76	0.72	0	0.54	0.37	0.50	0.12	0.37
17379698	0.44	0.35	0.79	0	0.53	0.54	0.50	0.10	0.33
17379798	0.43	0.25	0.71	0	0.47	0.48	0.48	0.15	0.36
17379898	0.52	0.67	0.89	0	0.37	0.46	0.50	0.10	0.33
