tick	antikeeper	builder	claimer	defender	harvester	longbuilder	longharvester	longminer	miner	shortminer	upgrader
17486602	0.79	0.51	0.35	0	0.66	0.50	0.45	0.46	0.48	0.27	0.32
17486702	0.64	0.45	0.25	0	0.52	0.39	0.57	0.47	0.43	0.16	0.36
17486802	0.61	0.45	0.68	0	0.69	0.38	0.55	0.52	0.44	0.09	0.32
17486902	0.61	0.49	0.41	0	0.61	0.41	0.49	0.96	0.52	0.10	0.31
17487002	0.57	0.35	0.67	0	0.66	0.46	0.55	0.46	0.49	0.11	0.31
17487102	0.56	0.50	0.46	0	0.60	0.42	0.47	0.50	0.51	0.09	0.33
17487202	0.67	0.47	0.39	0	0.58	0.53	0.52	0.47	0.48	0.10	0.35
17487301	0.63	0.40	0.62	0	0.65	0.53	0.52	0.46	0.50	0.10	0.32
17487401	0.70	0.51	0.48	0	0.73	0.59	0.60	0.48	0.49	0.12	0.38
17487501	0.77	0.44	0.50	0	0.74	0.50	0.60	0.48	0.51	0.12	0.35
17487601	0.73	0.40	0.44	0	0.59	0.15	0.46	0.47	0.51	0.12	0.31
17487701	0.69	0.44	0.44	0	0.62	0.29	0.48	0.50	0.49	0.08	0.32
17487801	0.67	0.43	0.44	0	0.59	0.39	0.63	0.43	0.50	0.09	0.31
17487901	0.59	0.56	0.33	0	0.62	0.40	0.51	0.39	0.49	0.09	0.34
17488001	0.59	0.42	0.43	0	0.66	0.43	0.50	0.49	0.47	0.08	0.32
17488101	0	0.52	0.66	0	0.71	0.46	0.59	0.39	0.52	0.10	0.41
17488201	0	0.41	0.57	0	0.67	0.36	0.57	0.50	0.39	0.10	0.31
17488301	0	0.45	0.67	0	0.49	0.36	0.50	0.60	0.46	0.08	0.32
17488401	0	0.35	0.62	0	0.63	0.36	0.53	0.40	0.54	0.10	0.34
17488501	0	0.43	0.45	0	0.50	0.36	0.52	0.41	0.50	0.08	0.32
17488600	0	0.46	0.39	0	0.57	0.41	0.54	0.43	0.56	0.10	0.31
17488703	0	0.47	0.39	0	0.64	1.11	0.57	0.42	0.51	0.11	0.37
17488803	0	0.39	0.44	0	0.51	0.60	0.71	0.54	0.51	0.14	0.39
17488903	0	0.44	0.48	0	0.66	0.63	0.64	0.44	0.50	0.13	0.40
17489003	0	0.55	0.58	0	0.52	0.68	0.72	0.43	0.50	0.09	0.33
17489202	0	0.46	0.64	0	0.51	0.48	0.43	0.51	0.43	0.12	0.32
17489301	0	0.43	0.44	0	0.46	0.96	0.67	0.47	0.45	0.15	0.44
17489401	0	0.38	0.56	0	0.64	0.91	0.59	0.44	0.45	0.10	0.34
17489509	0	0.53	0.45	0	0.71	0.49	0.41	0.53	0.49	0.09	0.34
17489607	0	0.46	0.33	0	0.55	0.49	0.63	1.02	0.55	0.13	0.36
17489707	0	0.41	0.51	0	0.65	1.00	0.54	1.07	0.52	0.13	0.34
17489807	0	0.41	0.60	0	0.55	0.81	0.43	0.52	0.53	0.11	0.34
17489907	0	0.47	0.56	0	0.60	0.77	0.63	0.49	0.52	0.14	0.33
17490007	0	0.44	0.72	0	0.68	0.44	0.50	0.49	0.47	0.09	0.30
17490107	0	0.40	0.44	0	0.46	0.45	0.44	0.35	0.48	0.09	0.35
17490207	0	0.39	0.30	0	0.40	0.40	0.66	0.44	0.50	0.11	0.31
17490307	0	0.59	0.62	0	0.63	0.30	0.48	0.52	0.48	0.08	0.31
17490408	0	0.48	0.54	0	0.62	0.32	0.46	0.49	0.48	0.09	0.30
17490508	0	0.43	0.28	0	0.54	0.55	0.67	0.44	0.49	0.16	0.28
17490608	0	0.51	0.61	0	0.55	0.43	0.38	0.45	0.43	0.18	0.29
17490708	0	0.49	0.47	0	0.42	0.37	0.34	0.50	0.39	0.07	0.30
17490808	0	0.51	0.59	0	0.64	0.39	0.53	0.46	0.50	0.13	0.30
17490908	0	0.50	0.51	0	0.65	0.35	0.41	0.45	0.45	0.10	0.36
17491008	0	0.45	0.51	0	0.42	0.45	0.41	1.01	0.45	0.08	0.33
17491108	0	0.40	0.65	0	0.48	0.45	0.51	1.15	0.53	0.10	0.33
17491208	0	0.37	0.43	0	0.51	0.37	0.39	0.56	0.50	0.09	0.35
17491308	0	0.38	0.38	0.65	0.47	0.34	0.41	0.45	0.48	0.08	0.38
17491408	0	0.45	0.43	0.35	0.73	0.51	0.36	0.39	0.46	0.09	0.37
17491508	0	0.40	0.40	0.44	0.57	0.59	0.33	0.50	0.51	0.10	0.38
17491608	0	0.52	0.56	0.38	0.51	0.43	0.31	0.42	0.54	0.09	0.38
17491708	0	0.41	0.42	0	0.61	0.56	0.44	0.42	0.49	0.09	0.34
17491808	0.86	0.37	0.40	0	0.57	0.44	0.48	0.51	0.51	0.11	0.29
17491908	0.76	0.50	0.49	0	0.68	0.43	0.48	0.49	0.48	0.14	0.34
17492008	0.60	0.50	0.76	0	0.51	0.40	0.45	0.44	0.43	0.09	0.29
17492108	0	0.48	0.37	0	0.59	0.32	0.59	0.45	0.41	0.10	0.31
17492208	0	0.49	0.40	0	0.50	0.32	0.37	0.51	0.47	0.07	0.32
17492308	0	0.43	0.64	0	0.60	0.34	0.41	0.81	0.50	0.10	0.33
17492408	0	0.48	0.41	0	0.55	0.35	0.50	0.58	0.50	0.09	0.38
17492508	0	0.37	0.42	0	0.62	0.34	0.40	0.48	0.44	0.09	0.36
17492608	0	0.52	0.62	0	0.49	0.36	0.49	0.44	0.47	0.09	0.37
17492707	0	0.48	0.64	0	0.90	0.56	0.48	0.51	0.54	0.12	0.41
17492807	1.48	0.39	0.37	0	0.50	0.82	0.48	0.51	0.48	0.11	0.47
17492907	0.65	0.44	0.51	0	0.60	0.77	0.52	0.48	0.47	0.12	0.37
17493007	0.84	0.45	0.45	0	0.66	0.80	0.64	0.44	0.52	0.11	0.31
17493107	0.67	0.38	0.27	0	0.42	0.48	0.51	0.49	0.41	0.09	0.34
17493207	0.34	0.43	0.48	0	0.78	0.50	0.58	0.46	0.50	0.09	0.33
17493307	0.47	0.42	0.45	0	0.47	0.40	0.54	0.43	0.41	0.08	0.32
17493407	0.69	0.80	0.31	0	0.55	0.75	0.46	0.50	0.40	0.09	0.31
17493507	0.44	0.74	0.25	0	0.57	0.96	0.55	0.41	0.48	0.10	0.35
17493607	0.90	0.66	0.59	0	0.61	0.51	0.54	0.45	0.42	0.09	0.35
17493707	0.90	0.58	0.47	0	0.52	0.49	0.41	0.76	0.47	0.07	0.36
17493807	0.74	0.52	0.27	0	0.61	0.49	0.57	0.40	0.52	0.11	0.40
17493907	0.59	0.45	0.53	0	0.85	0.33	0.55	0.42	0.51	0.08	0.32
17494107	0.57	0.41	0.28	0	0.75	0.26	0.55	0.48	0.42	0.09	0.34
17494207	1.05	0.45	0.24	0	0.62	0.27	0.57	0.50	0.49	0.11	0.31
17494307	0.58	0.44	0.72	0	0.66	0.29	0.45	0.42	0.51	0.08	0.31
17494407	1.87	0.37	0.74	0	0.61	0.31	0.57	0.47	0.50	0.10	0.37
17494507	0	0.48	0.26	0	0.68	0.31	0.59	0.64	0.45	0.17	0.37
17494607	0	0.45	0.50	0	0.57	0.30	0.45	0.58	0.52	0.11	0.34
17494707	1.11	0.44	0.63	0	0.54	0.41	0.56	0.41	0.48	0.08	0.32
17494807	0.70	0.40	0.72	0	0.51	0.38	0.47	0.45	0.47	0.07	0.32
17494907	0	0.42	0.32	0	0.57	0.32	0.42	0.50	0.51	0.07	0.36
17495007	0	0.45	0.49	0	0.52	0.43	0.50	0.61	0.51	0.08	0.32
17495107	0	0.43	0.28	0	0.69	0.35	0.41	1.00	0.49	0.07	0.33
17495207	0	0.43	0.29	0	0.45	0.33	0.39	0.55	0.49	0.07	0.37
17495307	0.83	0.40	0.54	0	0.62	0.32	0.40	0.35	0.50	0.08	0.30
17495407	0.67	0.49	0.43	0	0.51	0.36	0.52	0.36	0.50	0.10	0.32
17495507	0	0.43	0.28	0	0.47	0.40	0.38	0.33	0.52	0.09	0.36
17495607	0	0.42	0.33	0	0.47	0.36	0.48	0.38	0.52	0.10	0.39
17495707	0	0.39	0.37	0	0.50	0.38	0.37	0.45	0.48	0.08	0.33
17495807	0	0.40	0.31	0	0.48	0.37	0.36	0.48	0.50	0.12	0.34
17495907	0	0.39	0.47	0	0.57	0.42	0.44	0.41	0.49	0.18	0.35
17496007	0	0.35	0.56	0	0.58	0	0.53	0.29	0.42	0.11	0.32
17496107	0	0.35	0.81	0	0.48	0	0.47	0.41	0.52	0.16	0.35
17496207	0	0.34	0.26	0	0.52	0	0.56	0.50	0.52	0.09	0.34
17496307	0	0.38	0.57	0	0.67	0	0.65	0.55	0.51	0.09	0.34
17496407	0	0.35	0.61	0	0.47	0	0.64	0.65	0.49	0.07	0.33
17496507	0	0.40	0.27	0	0.54	0	0.74	0.44	0.46	0.09	0.29
17496607	0	0.37	0.52	0	0.52	0	0.39	0.46	0.50	0.08	0.41
17496707	0	0.39	0.58	0	0.66	0	0.48	0.50	0.53	0.06	0.34
17496807	0	0.38	0.30	0	0.47	0	0.48	0.45	0.49	0.08	0.36
17496907	0	0.39	0.57	0	0.54	0	0.55	0.45	0.51	0.07	0.34
17497007	0	0.43	0.41	0	0.55	0	0.46	0.41	0.45	0.06	0.29
17497107	0.84	0.35	0.29	0	0.34	0	0.53	0.41	0.44	0.09	0.29
17497207	0.83	0.33	0.54	0	0.60	0	0.58	0.45	0.42	0.13	0.31
